 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
0 6235.0 41446 l1 PP2 2.0 0.0 1.0 1.0 1.0 0.0 0.0 4.0 7.0 6.0 80005903.0
1 6235.0 41446 l1 PP2 2.0 1.0 1.0 1.0 0.0 0.0 4.0 7.0 6.0 4.0 80005904.0
2 6235.0 41446 l1 PP2 2.0 2.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 9.0 80007752.0
3 6235.0 41446 l1 PP2 2.0 3.0 1.0 1.0 1.0 0.0 2.0 7.0 9.0 5.0 80007753.0
4 6235.0 41446 l1 PP2 3.0 0.0 1.0 1.0 0.0 0.0 1.0 1.0 6.0 16.0 80007751.0
5 6235.0 41446 l1 PP2 3.0 1.0 1.0 1.0 0.0 0.0 0.0 5.0 15.0 17.0 80007752.0
6 6235.0 41446 l1 PP2 3.0 2.0 1.0 1.0 1.0 0.0 5.0 15.0 17.0 11.0 80007753.0
7 6235.0 41446 l1 PP2 3.0 3.0 1.0 1.0 0.0 0.0 10.0 12.0 6.0 0.0 80007754.0
8 6235.0 41446 l1 PP2 4.0 0.0 1.0 1.0 0.0 0.0 1.0 1.0 16.0 47.0 80007751.0
9 6235.0 41446 l1 PP2 4.0 1.0 1.0 1.0 0.0 0.0 0.0 15.0 46.0 54.0 80007752.0
10 6235.0 41446 l1 PP2 4.0 2.0 1.0 1.0 1.0 0.0 15.0 46.0 54.0 35.0 80007753.0
11 6235.0 41446 l1 PP2 4.0 3.0 1.0 1.0 0.0 0.0 31.0 39.0 20.0 0.0 80007754.0
12 6235.0 41446 l1 PP2 4.0 4.0 1.0 1.0 1.0 0.0 2.0 4.0 6.0 6.0 80007801.0
13 6235.0 41446 l1 PP2 5.0 0.0 1.0 1.0 1.0 0.0 1.0 4.0 6.0 3.0 80000064.0
14 6235.0 41446 l1 PP2 5.0 1.0 1.0 1.0 1.0 0.0 1.0 5.0 7.0 5.0 80007753.0
15 6235.0 41446 l1 PP2 6.0 0.0 1.0 1.0 1.0 0.0 0.0 2.0 8.0 7.0 80000063.0
16 6235.0 41446 l1 PP2 6.0 1.0 1.0 1.0 0.0 0.0 2.0 8.0 7.0 4.0 80000064.0
17 6235.0 41446 l1 PP2 6.0 2.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 7.0 80000612.0
18 6235.0 41446 l1 PP2 6.0 3.0 1.0 1.0 1.0 0.0 2.0 7.0 8.0 5.0 80000613.0
19 6235.0 41446 l1 PP2 6.0 4.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 6.0 80003064.0
20 6235.0 41446 l1 PP2 6.0 5.0 1.0 1.0 1.0 0.0 3.0 6.0 6.0 3.0 80003065.0
21 6235.0 41446 l1 PP2 7.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 7.0 11.0 80000411.0
22 6235.0 41446 l1 PP2 7.0 1.0 1.0 1.0 1.0 0.0 0.0 7.0 11.0 8.0 80000412.0
23 6235.0 41446 l1 PP2 7.0 2.0 1.0 1.0 0.0 0.0 7.0 11.0 8.0 4.0 80000413.0
24 6235.0 41446 l1 PP3 1.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 9.0 80006277.0
25 6235.0 41446 l1 PP3 1.0 1.0 1.0 1.0 1.0 0.0 2.0 7.0 9.0 5.0 80006278.0
26 6235.0 41446 l1 PP3 2.0 0.0 1.0 1.0 1.0 0.0 1.0 4.0 8.0 8.0 80004716.0
27 6235.0 41446 l1 PP3 2.0 1.0 1.0 1.0 1.0 0.0 3.0 7.0 7.0 4.0 80004717.0
28 6235.0 41446 l1 PP3 2.0 2.0 1.0 1.0 0.0 0.0 0.0 2.0 12.0 19.0 80006277.0
29 6235.0 41446 l1 PP3 2.0 3.0 1.0 1.0 1.0 0.0 2.0 12.0 19.0 15.0 80006278.0
30 6235.0 41446 l1 PP3 2.0 4.0 1.0 1.0 0.0 0.0 10.0 17.0 13.0 5.0 80006279.0
31 6235.0 41446 l1 PP3 2.0 5.0 1.0 1.0 1.0 0.0 2.0 5.0 8.0 7.0 80006286.0
32 6235.0 41446 l1 PP3 4.0 0.0 1.0 1.0 1.0 0.0 0.0 3.0 8.0 6.0 80002590.0
33 6235.0 41446 l1 PP3 4.0 1.0 1.0 1.0 0.0 0.0 4.0 9.0 7.0 4.0 80002591.0
34 6235.0 41446 l1 PP3 5.0 0.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 5.0 80001708.0
35 6235.0 41446 l1 PP3 7.0 0.0 1.0 1.0 0.0 0.0 1.0 2.0 7.0 15.0 80000725.0
36 6235.0 41446 l1 PP3 7.0 1.0 1.0 1.0 1.0 0.0 1.0 6.0 14.0 13.0 80000726.0
37 6235.0 41446 l1 PP3 7.0 2.0 1.0 1.0 0.0 0.0 5.0 13.0 12.0 6.0 80000727.0
38 6235.0 41446 l1 PP3 7.0 3.0 1.0 1.0 1.0 0.0 1.0 5.0 9.0 9.0 80004255.0
39 6235.0 41446 l1 PP3 7.0 4.0 1.0 1.0 1.0 0.0 4.0 8.0 8.0 4.0 80004256.0
40 6235.0 41446 l1 PP1 0.0 0.0 1.0 1.0 1.0 0.0 1.0 5.0 9.0 8.0 80000731.0
41 6235.0 41446 l1 PP1 0.0 1.0 1.0 1.0 0.0 0.0 4.0 8.0 7.0 5.0 80000732.0
42 6235.0 41446 l1 PP1 1.0 0.0 1.0 1.0 1.0 0.0 1.0 5.0 9.0 9.0 80003043.0
43 6235.0 41446 l1 PP1 1.0 1.0 1.0 1.0 1.0 0.0 4.0 8.0 8.0 5.0 80003044.0
44 6235.0 41446 l1 PP1 2.0 0.0 1.0 1.0 1.0 0.0 1.0 5.0 6.0 4.0 80000733.0
45 6235.0 41446 l1 PP1 2.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 10.0 19.0 80004715.0
46 6235.0 41446 l1 PP1 2.0 2.0 1.0 1.0 1.0 0.0 0.0 9.0 18.0 16.0 80004716.0
47 6235.0 41446 l1 PP1 2.0 3.0 1.0 1.0 0.0 0.0 9.0 18.0 16.0 8.0 80004717.0
48 6235.0 41446 l1 PP1 5.0 0.0 1.0 1.0 0.0 0.0 0.0 4.0 11.0 12.0 80007782.0
49 6235.0 41446 l1 PP1 5.0 1.0 1.0 1.0 1.0 0.0 4.0 11.0 12.0 7.0 80007783.0
50 6235.0 41446 l1 PP0 2.0 0.0 1.0 1.0 1.0 0.0 0.0 1.0 6.0 5.0 80001232.0
